split	genre	dataset	year	sid	score	sentence1	sentence2
train	main-captions	MSRvid	2012test	0026	0.500	Bir kadın yazıyor.	Bir kadın yüzüyor.
train	main-captions	MSRvid	2012test	0028	3.800	Bir kedi bebeğin yüzüne sürtünüyor.	Bir kedi bir bebeğe sürtünüyor.
train	main-captions	MSRvid	2012test	0029	5.000	Adam ata biniyor.	Bir adam ata biniyor.
train	main-captions	MSRvid	2012test	0030	3.200	Bir adam bir tencereye yağ döküyor.	Bir adam bir tencereye şarap döküyor.
train	main-captions	MSRvid	2012test	0031	2.800	Bir adam gitar çalıyor.	Bir kız gitar çalıyor.
train	main-captions	MSRvid	2012test	0032	4.600	Bir panda kaydıraktan aşağı kayıyor.	Bir panda kaydıraktan aşağı kayar.
train	main-captions	MSRvid	2012test	0034	3.000	Bir kadın bir şeyler yiyor.	Bir kadın et yiyor.
train	main-captions	MSRvid	2012test	0035	5.000	Bir kadın patatesi soyar.	Bir kadın patatesi soyuyor.
train	main-captions	MSRvid	2012test	0038	4.800	Çocuk bisikletinden düştü.	Bir çocuk bisikletinden düşüyor.
train	main-captions	MSRvid	2012test	0040	5.000	Kadın flüt çalıyor.	Bir kadın flüt çalıyor.
train	main-captions	MSRvid	2012test	0042	4.200	Bir kartaldan tavşan koşuyor.	Bir kartaldan bir tavşan koşuyor.
train	main-captions	MSRvid	2012test	0044	4.200	Kadın ekmekli domuz pirzolası kızartıyor.	Bir kadın domuz pirzolası pişiriyor.
train	main-captions	MSRvid	2012test	0046	4.000	Bir kız uçurtma uçuruyor.	Koşan bir kız uçurtma uçuruyor.
train	main-captions	MSRvid	2012test	0047	4.000	Bir adam mekanik bir boğaya biniyor.	Bir adam mekanik bir boğaya bindi.
train	main-captions	MSRvid	2012test	0048	4.909	Adam gitar çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0050	3.000	Bir kadın diğer kadınlarla dans ediyor ve şarkı söylüyor.	Bir kadın yağmurda dans ediyor ve şarkı söylüyor.
train	main-captions	MSRvid	2012test	0052	2.400	Bir adam bir çörek dilimliyor.	Bir adam bir soğanı dilimliyor.
train	main-captions	MSRvid	2012test	0053	4.200	Bir adam bir tavaya yağ döküyor.	Bir adam tavaya yağ döküyor.
train	main-captions	MSRvid	2012test	0054	3.400	Aslan insanlarla oynuyor.	Bir aslan iki adamla oynuyor.
train	main-captions	MSRvid	2012test	0055	5.000	Bir köpek kaykay sürüyor.	Bir köpek kaykay sürüyor.
train	main-captions	MSRvid	2012test	0056	3.750	Birisi bir heykel oyuyor.	Bir adam bir heykeli oyuyor.
train	main-captions	MSRvid	2012test	0057	2.750	Bir kadın soğanı kesiyor.	Bir adam soğanı kesiyor.
train	main-captions	MSRvid	2012test	0058	5.000	Bir kadın karides soyar.	Bir kadın karides soyuyor.
train	main-captions	MSRvid	2012test	0059	4.000	Bir kadın balık kızartıyor.	Bir kadın balık pişiriyor.
train	main-captions	MSRvid	2012test	0061	3.600	Bir kadın bir elektro gitar çalıyor.	Bir kadın gitar çalıyor.
train	main-captions	MSRvid	2012test	0062	1.600	Bir bebek kaplan bir topla oynuyor.	Bir bebek bir oyuncak bebekle oynuyor.
train	main-captions	MSRvid	2012test	0064	1.750	Bir kişi domates dilimliyor.	Bir insan biraz et dilimliyor.
train	main-captions	MSRvid	2012test	0065	5.000	Bir kişi bir soğanı keser.	Bir kişi bir soğanı kesiyor.
train	main-captions	MSRvid	2012test	0068	1.000	Bir adam piyano çalıyor.	Bir kadın keman çalıyor.
train	main-captions	MSRvid	2012test	0069	1.000	Bir kadın flüt çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0070	2.375	Bir adam bir patatesi kesiyor.	Bir adam havuç kesiyor.
train	main-captions	MSRvid	2012test	0071	3.800	Bir çocuk gitar çalıyor.	Bir çocuk gitar çalıyor.
train	main-captions	MSRvid	2012test	0072	3.200	Bir çocuk gitar çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0073	3.200	Bir adam gitar çalıyor.	Bir çocuk gitar çalıyor.
train	main-captions	MSRvid	2012test	0075	4.400	Küçük bir çocuk klavye çalıyor.	Bir çocuk klavye oynuyor.
train	main-captions	MSRvid	2012test	0077	3.750	Bir adam gitar çalıyor.	Bir adam bir elektro gitar çalıyor.
train	main-captions	MSRvid	2012test	0078	4.750	Bir köpek bir bebeği yalar.	Bir köpek bir bebeği yalıyor.
train	main-captions	MSRvid	2012test	0080	3.200	Bir kadın soğanı kesiyor.	Bir adam kesiyor ve soğan.
train	main-captions	MSRvid	2012test	0081	1.556	Bir adam gitar çalıyor.	Bir adam davul çalıyor.
train	main-captions	MSRvid	2012test	0083	3.938	Bir kadın biber dilimliyor.	Bir kadın kırmızı biber kesiyor.
train	main-captions	MSRvid	2012test	0084	5.000	Bir adam davul çalıyor.	Bir adam davul çalıyor.
train	main-captions	MSRvid	2012test	0085	5.000	Bir kadın ata biniyor.	Bir kadın ata biniyor.
train	main-captions	MSRvid	2012test	0086	4.000	Bir adam bir ağacın yanında bir muz yiyor.	Bir adam muz yiyor.
train	main-captions	MSRvid	2012test	0087	1.600	Bir kedi bir klavye çalıyor.	Bir adam iki klavye çalıyor.
train	main-captions	MSRvid	2012test	0089	4.750	Bir adam baltayla bir ağacı doğrar.	Bir adam bir ağacı baltayla kesti.
train	main-captions	MSRvid	2012test	0090	3.500	Bir çocuk oyuncak telefonla oynuyor.	Küçük bir çocuk oyuncak telefonla oynuyor.
train	main-captions	MSRvid	2012test	0093	1.400	Bir adam bir motosiklete biniyor.	Bir adam ata biniyor.
train	main-captions	MSRvid	2012test	0094	1.400	Bir adam bir motosiklete biniyor.	Bir adam ata biniyor.
train	main-captions	MSRvid	2012test	0099	4.000	Bir sincap daireler çizerek dönüyor.	Bir sincap daireler çizerek koşturuyor.
train	main-captions	MSRvid	2012test	0101	5.000	Bir erkek ve bir kadın öpüşüyor.	Bir erkek ve kadın öpüşür.
train	main-captions	MSRvid	2012test	0102	3.833	Bir adam arabaya biniyor.	Bir adam garajda arabaya biniyor.
train	main-captions	MSRvid	2012test	0104	0.600	Bir adam dans ediyor.	Bir adam konuşuyor.
train	main-captions	MSRvid	2012test	0105	2.917	Bir adam gitar çalıyor ve şarkı söylüyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0106	4.200	Bir kişi mantarları kesiyor.	Bir kişi mantarları bıçakla kesiyor.
train	main-captions	MSRvid	2012test	0108	2.000	Bir kaplan yavrusu ses çıkarıyor.	Bir kaplan dolaşıyor.
train	main-captions	MSRvid	2012test	0109	2.600	Bir kişi soğan dilimliyor.	Bir kişi bir soğanı soyuyor.
train	main-captions	MSRvid	2012test	0110	1.600	Bir adam piyano çalıyor.	Bir adam trompet çalıyor.
train	main-captions	MSRvid	2012test	0111	2.000	Bir kadın patatesi soyuyor.	Bir kadın bir elmayı soyuyor.
train	main-captions	MSRvid	2012test	0112	4.200	Bir pankda bambu yiyor.	Bir panda, bambu yiyor.
train	main-captions	MSRvid	2012test	0113	2.000	Bir kişi bir soğanı soyuyor.	Bir kişi patlıcanı soyuyor.
train	main-captions	MSRvid	2012test	0114	4.800	Bir maymun başka bir maymunu iter.	Maymun diğer maymunu itti.
train	main-captions	MSRvid	2012test	0115	4.400	Bir sincap daireler çizerek koşturuyor.	Bir sincap daire şeklinde hareket ediyor.
train	main-captions	MSRvid	2012test	0116	5.000	Bir adam ayakkabısını bağlıyor.	Bir adam ayakkabısını bağlar.
train	main-captions	MSRvid	2012test	0117	3.000	Bir çocuk şarkı söylüyor ve piyano çalıyor.	Bir çocuk piyano çalıyor.
train	main-captions	MSRvid	2012test	0118	4.250	Bir köpek karpuz yiyor.	Bir köpek bir parça karpuz yiyor.
train	main-captions	MSRvid	2012test	0119	4.250	Bir kadın brokoli kesiyor.	Bir kadın bıçakla brokoli kesiyor.
train	main-captions	MSRvid	2012test	0120	3.800	Bir adam patatesi soyuyor.	Bir adam bir patatesi soydu.
train	main-captions	MSRvid	2012test	0121	2.400	Bir kadın gitar çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0123	1.600	Bir kadın domates dilimliyor.	Bir adam soğanı dilimliyor.
train	main-captions	MSRvid	2012test	0125	2.000	Bir adam su altında yüzüyor.	Bir kadın su altında yüzüyor.
train	main-captions	MSRvid	2012test	0126	1.600	Bir erkek ve kadın konuşuyor.	Bir erkek ve kadın yiyor.
train	main-captions	MSRvid	2012test	0129	4.000	Küçük bir köpek bir yoga topu kovalıyor.	Bir köpek bir topun peşinde.
train	main-captions	MSRvid	2012test	0130	2.200	Erkekler kriket oynuyor.	Erkekler basketbol oynuyor.
train	main-captions	MSRvid	2012test	0131	4.400	Bir adam bir motosiklete biniyor.	Bir adam bir motosiklete biniyor.
train	main-captions	MSRvid	2012test	0132	3.600	Bir adam gitar çalıyor.	Bir adam şarkı söylüyor ve gitar çalıyor.
train	main-captions	MSRvid	2012test	0133	3.600	Adam telefonla konuştu.	Adam telefonla konuşuyor.
train	main-captions	MSRvid	2012test	0135	0.500	Bir adam balık tutuyor.	Bir adam egzersiz yapıyor.
train	main-captions	MSRvid	2012test	0136	0.800	Bir adam havaya yükseliyor.	Bir adam konuşuyor.
train	main-captions	MSRvid	2012test	0138	0.600	İki çocuk araba kullanıyor.	İki koy dans ediyor.
train	main-captions	MSRvid	2012test	0141	2.600	Bir adam ata biniyor.	Bir kız ata biniyor.
train	main-captions	MSRvid	2012test	0142	2.000	Bir adam bisiklete biniyor.	Bir maymun bisiklete biniyor.
train	main-captions	MSRvid	2012test	0143	2.200	Bir adam patates dilimliyor.	Bir kadın patatesi soyuyor.
train	main-captions	MSRvid	2012test	0144	2.400	Bir kadın patatesi soyuyor.	Bir adam patates dilimliyor.
train	main-captions	MSRvid	2012test	0145	3.600	Bir adam gitar çalıyor.	Birisi gitar çalıyor.
train	main-captions	MSRvid	2012test	0148	2.200	Bir kadın pırasa dilimliyor.	Bir kadın zencefil dilimliyor.
train	main-captions	MSRvid	2012test	0149	4.800	Adam bir kağıt tabak kesti.	Bir adam bir kağıt tabak kesiyor.
train	main-captions	MSRvid	2012test	0151	1.643	Adam gitar çalıyor.	Bir adam flüt çalıyor.
train	main-captions	MSRvid	2012test	0152	1.750	Bir adam piyano çalıyor.	Adam keman çalıyor.
train	main-captions	MSRvid	2012test	0154	2.250	Bir kadın biraz et dilimliyor.	Bir kadın biraz et pişiriyor.
train	main-captions	MSRvid	2012test	0155	4.000	Bir adam klavyesinde oynuyor.	Bir adam bir klavye piyano çalıyor.
train	main-captions	MSRvid	2012test	0157	4.800	Hanımefendi yeşil soğanları doğradı.	Bayan yeşil soğanı kesti.
train	main-captions	MSRvid	2012test	0158	3.200	Birisi suya erişte koyuyor.	Bir kadın suda erişte kaynatıyor.
train	main-captions	MSRvid	2012test	0160	4.000	Lionel Richie tavanda dans ediyor.	Lionel Ritchie tavanda dururken dans ediyor.
train	main-captions	MSRvid	2012test	0161	4.400	Bir adam piyano çalıyor.	Bir kişi piyano çalıyor.
train	main-captions	MSRvid	2012test	0163	4.600	Bir kadın flüt çalıyor.	Bir kadın flüt çalıyor.
train	main-captions	MSRvid	2012test	0164	3.800	Bir çocuk takvimi kontrol ediyor.	Bir çocuk bir takvime bakıyor.
train	main-captions	MSRvid	2012test	0165	4.800	Bir kadın soğanı kesiyor.	Bir kadın soğan kesiyor.
train	main-captions	MSRvid	2012test	0166	4.857	Bir adam gitar çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0167	5.000	Bir kadın dikiş makinesi kullanıyor.	Bir kadın bir makinede dikiş yapıyor.
train	main-captions	MSRvid	2012test	0168	2.533	Bir kadın krep atıyor.	Bir çizgi film şefi krep çeviriyor.
train	main-captions	MSRvid	2012test	0172	1.000	Yolda bir adam koşuyor.	Bir araba yoldan aşağı gidiyor.
train	main-captions	MSRvid	2012test	0175	1.000	Bir adam ata biniyor.	Bir adam telefonla konuşuyor.
train	main-captions	MSRvid	2012test	0176	2.000	Bir adam bisiklete biniyor.	Bir adam ata biniyor.
train	main-captions	MSRvid	2012test	0178	0.143	Bir kadın dans ediyor.	Bir adam yiyor.
train	main-captions	MSRvid	2012test	0179	2.000	Bir adam piyano çalıyor.	Bir adam flüt çalıyor.
train	main-captions	MSRvid	2012test	0180	1.600	Bir adam flüt çalıyor.	Bir adam piyano çalıyor.
train	main-captions	MSRvid	2012test	0182	1.600	Bir adam dönüyor.	Bir adam dans ediyor.
train	main-captions	MSRvid	2012test	0184	3.400	Bir maymun uzuvdan uzuvuna sallanıyor.	Bir maymun ağaçtan ağaca sallanıyor.
train	main-captions	MSRvid	2012test	0185	4.000	İnsanlar trenden indi.	İnsanlar istasyonda trenden indi.
train	main-captions	MSRvid	2012test	0187	4.800	Bir köpek bir trambolinde atlıyor.	Bir köpek trambolinde zıplıyor.
train	main-captions	MSRvid	2012test	0188	2.500	Bir çocuk bir enstrüman çalıyor.	Bir adam trompet çalıyor.
train	main-captions	MSRvid	2012test	0190	1.750	Bir kadın gitar çalıyor.	Bir adam şarkı söylüyor ve gitar çalıyor.
train	main-captions	MSRvid	2012test	0191	1.000	Bir kadın bir kutu topluyor.	Bir kadın domates dilimliyor.
train	main-captions	MSRvid	2012test	0192	5.000	Bir adam bir ipe tırmanıyor.	Bir adam bir ipe tırmanıyor.
train	main-captions	MSRvid	2012test	0193	1.400	Bir adam bir arabayı kaldırıyor.	Bir adam duvara tırmanıyor.
train	main-captions	MSRvid	2012test	0195	4.000	Bir erkek ve kadın bir cipte caddede araba kullanıyorlar.	Bir kadın ve bir erkek açık hava bir araçla yolda ilerliyor.
train	main-captions	MSRvid	2012test	0196	3.800	Gömleksiz adam bir sandalyeye oturdu.	Gömleksiz bir adam bir sandalyede oturuyor.
train	main-captions	MSRvid	2012test	0198	4.000	İki kadın güreşiyor.	Yerde iki kadın güreş yapıyor.
train	main-captions	MSRvid	2012test	0199	4.000	Yavru bir mavi tenis topuyla oynadı.	Bir köpek yavrusu bir tenis topuyla oynuyor.
train	main-captions	MSRvid	2012test	0200	4.800	Bir kangroo bir şeyler yiyor.	Bir kanguru yiyor.
train	main-captions	MSRvid	2012test	0201	0.600	Bir kedi piyano çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0202	4.750	Adam bıçakla halıyı kesti.	Bir adam bıçakla halı kesiyor.
train	main-captions	MSRvid	2012test	0203	2.200	Bir kadın yolda motorlu bir scooter kullanıyor.	Bir adam motorlu bir scooter kullanıyor.
train	main-captions	MSRvid	2012test	0204	3.000	birisi sebzeyi dilimliyor.	Birisi domates dilimliyor.
train	main-captions	MSRvid	2012test	0205	0.000	Bir kadın dans ediyor.	Bir adam konuşuyor.
train	main-captions	MSRvid	2012test	0207	2.200	Bir köpek, bir bebeğin salyasını yalar.	Bir köpek bir bebeği yalar.
train	main-captions	MSRvid	2012test	0208	0.400	Bir adam kürek çekiyor.	Bir adam domates dilimliyor.
train	main-captions	MSRvid	2012test	0210	4.800	Bir adam patates kesiyor.	Bir adam patates dilimler.
train	main-captions	MSRvid	2012test	0212	4.800	Bir kadın sarımsak kesiyor.	Kadın sarımsak kesiyor.
train	main-captions	MSRvid	2012test	0214	3.800	Dairelerde koşan bir hayvan.	Bir sincap daire içinde koşar.
train	main-captions	MSRvid	2012test	0215	3.000	Bir adam bir ip köprüden yavaşça geçiyor.	Bir çocuk bir köprüden geçiyor.
train	main-captions	MSRvid	2012test	0216	4.000	Bir adam gitar çalıyor.	Bir odada oturan bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0217	5.000	Bir adam flüt çalıyor.	Bir adam flüt çalıyor.
train	main-captions	MSRvid	2012test	0221	3.800	Bir kadın bir cam kaseye iki yumurta kırar.	Bir kadın bir kaseye yumurta kırıyor.
train	main-captions	MSRvid	2012test	0223	3.000	Bir adam balık kesiyor.	Bir adam bir balığı bağırır.
train	main-captions	MSRvid	2012test	0224	4.400	İki adam bir arabanın bagajına valiz koyuyor.	Adamlar bavulları arabanın bagajına koyuyorlar.
train	main-captions	MSRvid	2012test	0226	3.800	Bir adam bazı domateslerin üzerine yağ döküyor.	Adam kesilmiş domateslerin üzerine yağ döktü.
train	main-captions	MSRvid	2012test	0227	3.000	Bir adam bir şeyi dilimliyor.	Bir adam bir çörek dilimliyor.
train	main-captions	MSRvid	2012test	0230	0.667	Bir adam kürek çekiyor.	Bir adam arp çalıyor.
train	main-captions	MSRvid	2012test	0231	4.000	Bir erkek ve kadın ormanda birlikte yürüyorlar.	Bir erkek ve kadın ağaçlık bir alanda kol kola yürüyorlar.
train	main-captions	MSRvid	2012test	0233	3.750	Kadın kanguruyu aldı.	Bir kadın bir bebek kanguru alır.
train	main-captions	MSRvid	2012test	0234	4.133	Balıklar yüzüyor.	Bir balık yüzüyor.
train	main-captions	MSRvid	2012test	0235	4.000	İki kadın bir mutfak robotunda bir şeyler karıştırıyor.	İki kadın blenderde bir şeyler yapar.
train	main-captions	MSRvid	2012test	0237	3.600	Bir kişi büyük bir dalgada sörf yapıyor.	Bir kişi sörf yapıyor.
train	main-captions	MSRvid	2012test	0238	1.200	Bir adam gitar çalıyor.	Bir adam bir hedefi bıçaklıyor.
train	main-captions	MSRvid	2012test	0239	1.600	Bir adam bir grupta flüt çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0240	4.000	Adam ekmeğin üzerine tereyağı sürüyor.	Bir adam ekmeğin üzerine tereyağı sürüyor.
train	main-captions	MSRvid	2012test	0241	4.000	Bir kişi erişte kaynatıyor.	Bir kadın suda erişte kaynatıyor.
train	main-captions	MSRvid	2012test	0243	3.200	Bir grup insan bir tepede dans ediyor.	Bir grup insan dans ediyor.
train	main-captions	MSRvid	2012test	0245	1.000	Bir adam dışarıda dans ediyor.	Bir adam flüt çalıyor.
train	main-captions	MSRvid	2012test	0246	1.000	Bir kadın bir erkeği besliyor.	Bir kadın eti karıştırıyor.
train	main-captions	MSRvid	2012test	0247	0.600	Bir adam fırına bir tava koyuyor.	Bir kadın soğanı kesiyor.
train	main-captions	MSRvid	2012test	0249	0.400	Bir kadın masada oturuyor.	Bir kadın eşeğe biniyor.
train	main-captions	MSRvid	2012test	0250	3.400	Sağlık görevlileri bir hastayı sedye üzerinde taşır.	Bir doktor hastayı sedyeye koşar.
train	main-captions	MSRvid	2012test	0252	3.600	Bir kadın sahnede flüt çalıyor.	Kadın flüt çalıyor.
train	main-captions	MSRvid	2012test	0254	3.000	İki bebek panda oynuyor.	İki panda yan yana yatıyor.
train	main-captions	MSRvid	2012test	0256	4.000	Bir bebek gülüyor.	Bir bebek gülüyor ve kıkırdıyor.
train	main-captions	MSRvid	2012test	0257	1.200	Bir adam gitar çalıyor.	Bir çocuk piyano çalıyor.
train	main-captions	MSRvid	2012test	0259	0.600	Bir adam kağıt katlıyor.	Bir kadın biber dilimliyor.
train	main-captions	MSRvid	2012test	0260	1.600	Üç kadın dans ediyor.	Adam dans ediyor.
train	main-captions	MSRvid	2012test	0262	2.600	Kediler birbirleriyle oynuyor.	İki kedi birbiriyle kavga ediyor.
train	main-captions	MSRvid	2012test	0263	3.600	Bir kişi yazıyor.	Bir kişi kalemle yazıyor.
train	main-captions	MSRvid	2012test	0267	3.500	Bir adam koşuyor.	Bir adam yoldan aşağı koşuyor.
train	main-captions	MSRvid	2012test	0268	3.765	Kadın hamur yuvarlıyor.	Bir kadın çiçek açıyor ve hamur yuvarlıyor.
train	main-captions	MSRvid	2012test	0269	2.750	Bir kadın etin üzerine baharat ekliyor.	Kadın ete şeker ekliyor.
train	main-captions	MSRvid	2012test	0270	2.250	Bir kadın balıklara yağ ekliyor.	Bir kadın balıkların üzerine su döküyor.
train	main-captions	MSRvid	2012test	0271	2.750	Genç bir çocuk bir gitar tutuyor.	Küçük bir çocuk gitar çalıyor.
train	main-captions	MSRvid	2012test	0272	3.800	Bir çita koşuyor.	Bir çita bir tarlada koşuyor.
train	main-captions	MSRvid	2012test	0273	4.800	Adam pizza yiyor.	Bir adam bir dilim pizza yiyor.
train	main-captions	MSRvid	2012test	0274	3.600	Bir orangutan otobüse biniyor.	Bir maymun otobüse biniyor.
train	main-captions	MSRvid	2012test	0275	1.200	Bir lokantada bir erkek ve bir kadın konuşuyor.	Bir erkek ve bir kadın bisiklete biniyor.
train	main-captions	MSRvid	2012test	0277	0.400	Bir adam gitar çalıyor.	Bir adam cam kapıyı temizliyor.
train	main-captions	MSRvid	2012test	0278	2.400	Bir kız şarkı söylüyor ve gitar çalıyor.	Genç bir adam gitar çalarken şarkı söylüyor.
train	main-captions	MSRvid	2012test	0282	3.941	Bir kız işaret dili ile iletişim kuruyor.	Genç bir kız işaret dili kullanıyor.
train	main-captions	MSRvid	2012test	0283	0.500	Bir kadın ağırlık egzersizleri yapıyor.	Bir kadın saçını yapıyor.
train	main-captions	MSRvid	2012test	0284	3.750	Bir adam arabaya giriyor.	Yaşlı bir adam kırmızı bir arabaya biniyor.
train	main-captions	MSRvid	2012test	0285	4.000	Büyük yeşil bir top bir patatesi devirir.	Büyük yeşil bir top patatese çarpıyor.
train	main-captions	MSRvid	2012test	0287	3.000	Bir kedi klavye çalıyor.	Bir kedi piyano çalıyor.
train	main-captions	MSRvid	2012test	0288	4.200	Havuzda iki köpek yüzer.	Köpekler havuzda yüzüyor.
train	main-captions	MSRvid	2012test	0290	2.000	Adam soğanı doğramak için bir doğrayıcı kullandı.	Adam patates doğramak için bir makine kullandı.
train	main-captions	MSRvid	2012test	0291	5.000	Bir kadın tofu dilimler.	Bir kadın tofu kesiyor.
train	main-captions	MSRvid	2012test	0292	3.000	Bir geyik sürüsü karşıdan karşıya geçiyor.	Bir ren geyiği sürüsü bir yoldan geçiyor.
train	main-captions	MSRvid	2012test	0293	3.800	Kişi ata biniyor.	Bir adam ata biniyor.
train	main-captions	MSRvid	2012test	0294	0.000	Biri bir hayvanı besliyor.	Birisi piyano çalıyor.
train	main-captions	MSRvid	2012test	0295	0.000	Birisi tortila dilimliyor.	Biri ata biniyor.
train	main-captions	MSRvid	2012test	0296	0.250	Birisi inkarcıları karıştırıyor.	Birisi bir şeyler dikiyor.
train	main-captions	MSRvid	2012test	0297	4.000	Horoz ölü bir fareyi gagalar.	Tavuk ölü bir fareyi gagalamaktadır.
train	main-captions	MSRvid	2012test	0298	3.250	Bir kadın bir kanguru tutar.	Bir kadın bir kanguru alıyor.
train	main-captions	MSRvid	2012test	0299	0.750	Bir adam kurbağalarla oynuyor	Bir kedi kamera ile oynuyor.
train	main-captions	MSRvid	2012test	0300	1.500	İki adam konuşuyor.	İki adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0303	3.500	Bir adam büyük bir parça ekmeğin üzerine tereyağı sürüyor.	Bir adam bir dilim sarımsaklı ekmeğin üzerine tereyağı sürüyor.
train	main-captions	MSRvid	2012test	0304	3.000	Bir adam yüksek bir kablonun üzerinden geçiyor.	Bir adam ip üzerinde koşuyor.
train	main-captions	MSRvid	2012test	0307	0.200	Bir adam çim biçiyor.	Bir kadın limon kesiyor.
train	main-captions	MSRvid	2012test	0309	0.800	Bir adam bir kapıyı açıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0311	4.200	Bir adam bir patatesi parçalara ayırıyor.	Bir adam patatesi kesiyor.
train	main-captions	MSRvid	2012test	0312	3.800	Kadın pişmiş ahtapot kesiyor.	Bir kadın ahtapot kesiyor.
train	main-captions	MSRvid	2012test	0314	0.400	Bir adam tahtaları deliyor.	Bir köpek sudan geçiyor.
train	main-captions	MSRvid	2012test	0316	0.800	Bir adam dans ediyor.	Bir adam ekmek yiyor.
train	main-captions	MSRvid	2012test	0317	1.200	Birisi piyano çalıyor.	Bir adam gitar çalıyor.
train	main-captions	MSRvid	2012test	0318	2.800	İki tilki tuğla bir verandada bir tabaktan yiyor.	Tilkiler tabaktan yiyor.
train	main-captions	MSRvid	2012test	0319	3.200	Bir çocuk bir klavye çalıyor.	Bir çocuk piyano çalıyor.
train	main-captions	MSRvid	2012test	0320	5.000	Bir kişi klavye çalıyor.	Birisi klavye çalıyor.
train	main-captions	MSRvid	2012test	0322	0.000	Bir adam ateş ediyor.	Bir adam tükürüyor.
train	main-captions	MSRvid	2012test	0323	1.000	Birisi soğanı dilimliyor.	Birisi patatesi soyuyor.
train	main-captions	MSRvid	2012test	0325	0.000	Bir adam yüzüyor.	Bir kadın et dilimliyor.
train	main-captions	MSRvid	2012test	0327	3.750	Bir adam gitar çalıyor.	Bir adam akustik gitar çalıyor.
train	main-captions	MSRvid	2012test	0328	0.400	Bir kadın balkabağı dilimliyor.	Bir kadın bir file biniyor.
train	main-captions	MSRvid	2012test	0329	0.400	Bir kadın dans ediyor.	Bir kadın hamur yoğuruyor.
train	main-captions	MSRvid	2012test	0331	0.600	Bir kadın bir kaseye yumurta kırıyor.	Bir kadın şişleri rafa yerleştiriyor.
train	main-captions	MSRvid	2012test	0332	4.000	Bir araba bir yoldan geçiyor.	Bir araba yoldan aşağı gidiyor.
train	main-captions	MSRvid	2012test	0334	0.400	Birisi bir tavayı yağlıyor.	Smeone uzanıyor.
train	main-captions	MSRvid	2012test	0335	0.400	Bir adam gitar çalıyor.	Bir adam makarna süzüyor.
train	main-captions	MSRvid	2012test	0336	0.400	Bir kadın votka içiyor.	Bir kadın egzersiz yapıyor.
train	main-captions	MSRvid	2012test	0339	4.800	Bir kadın eti parçalara ayırıyor.	Bir kadın biraz et kesiyor.
